,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr
0,LeNet5,0.6583833333333333,0.8804,0.3770582377910614,0.3844052851200104,1,8.257931470870972,64,0.01
1,LeNet5,0.92885,0.9539,0.08698128908872604,0.15138323605060577,2,7.986728191375732,64,0.01
2,LeNet5,0.9568833333333333,0.9596,0.2702302038669586,0.12783072888851166,3,7.968854665756226,64,0.01
3,LeNet5,0.9682166666666666,0.9716,0.04721606522798538,0.08891791850328445,4,8.00104570388794,64,0.01
4,LeNet5,0.9735,0.9638,0.09749249368906021,0.11327105760574341,5,7.960574150085449,64,0.01
5,LeNet5,0.9775666666666667,0.9805,0.02653348445892334,0.061937443912029266,6,8.06289029121399,64,0.01
6,LeNet5,0.9798833333333333,0.981,0.00531417690217495,0.05714114382863045,7,8.044628143310547,64,0.01
7,LeNet5,0.982,0.9821,0.026957791298627853,0.0544733963906765,8,7.998711347579956,64,0.01
8,LeNet5,0.9842333333333333,0.9818,0.026774605736136436,0.05455086752772331,9,7.935919284820557,64,0.01
9,LeNet5,0.9852166666666666,0.985,0.002746932441368699,0.04454028978943825,10,7.988365411758423,64,0.01
10,LeNet5,0.9860333333333333,0.9845,0.011709745973348618,0.04667287319898605,11,7.999800443649292,64,0.01
11,LeNet5,0.9870166666666667,0.9835,0.01919923909008503,0.04771193116903305,12,8.23948621749878,64,0.01
12,LeNet5,0.9877,0.9861,0.020481474697589874,0.04500090703368187,13,7.936222314834595,64,0.01
13,LeNet5,0.9887833333333333,0.9881,0.009901153855025768,0.03757506236433983,14,7.881128549575806,64,0.01
14,LeNet5,0.9890833333333333,0.9821,0.015732338652014732,0.05092337355017662,15,8.014910697937012,64,0.01
15,LeNet5,0.99025,0.9863,0.0017717503942549229,0.03806953877210617,16,8.014184713363647,64,0.01
16,LeNet5,0.99065,0.987,0.02572869323194027,0.037687379866838455,17,7.914566278457642,64,0.01
17,LeNet5,0.9911833333333333,0.9877,0.006022914778441191,0.037518661469221115,18,7.941115140914917,64,0.01
