,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr
0,LeNet5,0.6682666666666667,0.8976,0.31531816720962524,0.316281259059906,1,9.232380390167236,64,0.01
1,LeNet5,0.9414166666666667,0.9643,0.07009907066822052,0.12089817225933075,2,8.938348293304443,64,0.01
2,LeNet5,0.9635833333333333,0.9718,0.05161220580339432,0.09205443412065506,3,8.902604103088379,64,0.01
3,LeNet5,0.9711833333333333,0.968,0.14751815795898438,0.09335663169622421,4,8.898418188095093,64,0.01
4,LeNet5,0.9761166666666666,0.9755,0.08048933744430542,0.07993552088737488,5,9.03164029121399,64,0.01
5,LeNet5,0.9794166666666667,0.9808,0.02027418091893196,0.06126803159713745,6,9.076239109039307,64,0.01
6,LeNet5,0.9812166666666666,0.9824,0.007331654895097017,0.0529450997710228,7,8.918321371078491,64,0.01
7,LeNet5,0.9832833333333333,0.9841,0.02101072296500206,0.05055026710033417,8,8.883491039276123,64,0.01
8,LeNet5,0.98475,0.9855,0.011832840740680695,0.05089815333485603,9,8.863662004470825,64,0.01
9,LeNet5,0.9864833333333334,0.9855,0.005316717550158501,0.0447891540825367,10,9.015666007995605,64,0.01
10,LeNet5,0.9873833333333333,0.9862,0.006083715707063675,0.04219214990735054,11,8.96846079826355,64,0.01
11,LeNet5,0.9881,0.9874,0.02561628632247448,0.04013814032077789,12,8.949727535247803,64,0.01
12,LeNet5,0.9897,0.9843,0.11409647762775421,0.047794684767723083,13,9.06657361984253,64,0.01
13,LeNet5,0.9898666666666667,0.9869,0.0037500644102692604,0.04153025522828102,14,8.901166200637817,64,0.01
14,LeNet5,0.991,0.9876,0.004661634564399719,0.03737873211503029,15,8.969781160354614,64,0.01
15,LeNet5,0.99125,0.9885,0.0034472031984478235,0.03509087488055229,16,8.978947401046753,64,0.01
16,LeNet5,0.99205,0.9889,0.011852230876684189,0.035390086472034454,17,8.872931241989136,64,0.01
17,LeNet5,0.99265,0.9872,0.003088098717853427,0.03872770443558693,18,8.929285049438477,64,0.01
18,LeNet5,0.9923833333333333,0.9894,0.000374682160327211,0.03454633057117462,19,8.880860805511475,64,0.01
19,LeNet5,0.99345,0.9889,0.001985745271667838,0.03465136140584946,20,8.863707542419434,64,0.01
20,LeNet5,0.9939166666666667,0.9891,0.0030813426710665226,0.03627346456050873,21,8.907714605331421,64,0.01
