,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr
0,LeNet5,0.5499833333333334,0.8984,0.46641847491264343,0.3265676498413086,1,9.245683193206787,64,0.01
1,LeNet5,0.92505,0.9451,0.37574219703674316,0.17325499653816223,2,9.129842758178711,64,0.01
2,LeNet5,0.9574666666666667,0.9637,0.1604718714952469,0.11731498688459396,3,9.098129272460938,64,0.01
3,LeNet5,0.96945,0.9765,0.06507908552885056,0.07634338736534119,4,9.163782358169556,64,0.01
4,LeNet5,0.9745166666666667,0.9761,0.028742404654622078,0.07488356530666351,5,9.226391792297363,64,0.01
5,LeNet5,0.9787,0.9798,0.008024029433727264,0.062157291918992996,6,9.255705118179321,64,0.01
6,LeNet5,0.9808333333333333,0.9825,0.15244156122207642,0.05607094243168831,7,9.24248743057251,64,0.01
7,LeNet5,0.9830333333333333,0.981,0.1537865698337555,0.05601204186677933,8,9.227593183517456,64,0.01
8,LeNet5,0.9850166666666667,0.9856,0.007424460258334875,0.04603418707847595,9,9.082688331604004,64,0.01
9,LeNet5,0.9858833333333333,0.986,0.03288408741354942,0.04363022744655609,10,9.203080177307129,64,0.01
10,LeNet5,0.9868166666666667,0.9868,0.024852382019162178,0.04019193351268768,11,9.25359296798706,64,0.01
11,LeNet5,0.9880333333333333,0.9874,0.004110746551305056,0.038304924964904785,12,9.20352840423584,64,0.01
12,LeNet5,0.9884833333333334,0.9874,0.006763561628758907,0.03582894057035446,13,9.119365930557251,64,0.01
13,LeNet5,0.9897666666666667,0.9866,0.04923885315656662,0.03799868002533913,14,9.152636289596558,64,0.01
14,LeNet5,0.9899166666666667,0.9884,0.011969618499279022,0.03533955663442612,15,9.182463884353638,64,0.01
15,LeNet5,0.9909,0.9879,0.023567751049995422,0.03621750324964523,16,9.212844848632812,64,0.01
16,LeNet5,0.99145,0.9862,0.0023086501751095057,0.03970883786678314,17,9.291929483413696,64,0.01
17,LeNet5,0.9917666666666667,0.9875,0.0006906494381837547,0.035836491733789444,18,9.223684549331665,64,0.01
18,LeNet5,0.9920333333333333,0.9889,0.009940863586962223,0.031235836446285248,19,9.2404625415802,64,0.01
19,LeNet5,0.9926833333333334,0.9894,0.014848960563540459,0.030386898666620255,20,9.340614795684814,64,0.01
20,LeNet5,0.9928833333333333,0.9891,0.008129512891173363,0.030344899743795395,21,9.177238702774048,64,0.01
21,LeNet5,0.9934166666666666,0.9877,0.04108498990535736,0.03656058385968208,22,9.142967700958252,64,0.01
22,LeNet5,0.99395,0.9896,0.004060707520693541,0.03097817301750183,23,9.358931303024292,64,0.01
23,LeNet5,0.99395,0.989,0.0029774941504001617,0.032652102410793304,24,9.090835571289062,64,0.01
24,LeNet5,0.9946666666666667,0.9897,0.01454547792673111,0.03092646412551403,25,9.126820087432861,64,0.01
25,LeNet5,0.99475,0.9888,0.005266914144158363,0.031019823625683784,26,9.089966058731079,64,0.01
26,LeNet5,0.9952,0.9869,0.058091696351766586,0.038788896054029465,27,9.047098875045776,64,0.01
27,LeNet5,0.9954833333333334,0.9905,0.005863785278052092,0.029711367562413216,28,9.24596118927002,64,0.01
28,LeNet5,0.9954,0.9878,0.014754340052604675,0.03583944961428642,29,9.102954387664795,64,0.01
29,LeNet5,0.99625,0.9894,0.007046688348054886,0.03595200553536415,30,9.167787790298462,64,0.01
30,LeNet5,0.5449666666666667,0.8694,0.39823368191719055,0.41010233759880066,1,8.318619728088379,128,0.02
31,LeNet5,0.9244333333333333,0.9463,0.21903668344020844,0.16713082790374756,2,8.21880316734314,128,0.02
32,LeNet5,0.9566833333333333,0.9683,0.08010153472423553,0.09975175559520721,3,8.263562679290771,128,0.02
33,LeNet5,0.9693833333333334,0.9759,0.06940766423940659,0.0766395702958107,4,8.34802508354187,128,0.02
34,LeNet5,0.9755666666666667,0.9787,0.046063218265771866,0.0685228556394577,5,8.260372161865234,128,0.02
35,LeNet5,0.9787666666666667,0.9816,0.13007469475269318,0.060391735285520554,6,8.312201261520386,128,0.02
36,LeNet5,0.98165,0.9831,0.050324756652116776,0.05184976011514664,7,8.338757991790771,128,0.02
37,LeNet5,0.9836,0.984,0.008357600308954716,0.04964548349380493,8,8.313859701156616,128,0.02
38,LeNet5,0.98455,0.9869,0.024821070954203606,0.04146760702133179,9,8.480339527130127,128,0.02
39,LeNet5,0.9863666666666666,0.979,0.07755904644727707,0.06274432688951492,10,8.336036443710327,128,0.02
40,LeNet5,0.9870166666666667,0.9854,0.03927066922187805,0.04359099268913269,11,8.336988687515259,128,0.02
41,LeNet5,0.9879833333333333,0.9883,0.007242314051836729,0.0354187898337841,12,8.253521919250488,128,0.02
42,LeNet5,0.9884666666666667,0.9871,0.030540945008397102,0.037078455090522766,13,8.294775247573853,128,0.02
43,LeNet5,0.9898833333333333,0.9882,0.005790960043668747,0.03488386422395706,14,8.322826623916626,128,0.02
44,LeNet5,0.9903166666666666,0.9896,0.01040417980402708,0.03236304968595505,15,8.3837411403656,128,0.02
45,LeNet5,0.9912833333333333,0.9877,0.03831574693322182,0.035675399005413055,16,8.331411361694336,128,0.02
46,LeNet5,0.9911166666666666,0.9897,0.0034556416794657707,0.030583957210183144,17,8.451860427856445,128,0.02
47,LeNet5,0.9918,0.9888,0.01698000356554985,0.03045504167675972,18,8.337971687316895,128,0.02
48,LeNet5,0.9920333333333333,0.9886,0.027832264080643654,0.03195741027593613,19,8.46345329284668,128,0.02
49,LeNet5,0.9926666666666667,0.9887,0.011546343564987183,0.03297507017850876,20,8.470067024230957,128,0.02
50,LeNet5,0.9933333333333333,0.9891,0.007917685434222221,0.03134110942482948,21,8.448715686798096,128,0.02
51,LeNet5,0.9934166666666666,0.9891,0.01159917563199997,0.032734211534261703,22,8.468048095703125,128,0.02
52,LeNet5,0.9938,0.9902,0.014759783633053303,0.029923303052783012,23,8.485687971115112,128,0.02
53,LeNet5,0.9944,0.9901,0.005272455047816038,0.030483437702059746,24,8.364585638046265,128,0.02
54,LeNet5,0.9946833333333334,0.9891,0.007539733778685331,0.033013369888067245,25,8.337923049926758,128,0.02
55,LeNet5,0.99475,0.9892,0.002134677954018116,0.03377259150147438,26,8.362758874893188,128,0.02
56,LeNet5,0.9950166666666667,0.9897,0.012670868076384068,0.02947075106203556,27,8.393908977508545,128,0.02
57,LeNet5,0.99515,0.988,0.00982375256717205,0.039347875863313675,28,8.359399318695068,128,0.02
58,LeNet5,0.99555,0.9898,0.03297741338610649,0.03325269743800163,29,8.356036186218262,128,0.02
59,LeNet5,0.9959,0.9893,0.0012825449230149388,0.03227866813540459,30,8.406334161758423,128,0.02
60,LeNet5,0.5159333333333334,0.8549,0.439315527677536,0.43234530091285706,1,7.949491024017334,256,0.04
61,LeNet5,0.9225333333333333,0.9219,0.2492755502462387,0.23777125775814056,2,7.837066411972046,256,0.04
62,LeNet5,0.95625,0.9696,0.05176327005028725,0.09811170399188995,3,7.8513007164001465,256,0.04
63,LeNet5,0.9683,0.971,0.15619850158691406,0.09485121816396713,4,7.926010370254517,256,0.04
64,LeNet5,0.9746333333333334,0.9792,0.09674590080976486,0.06769401580095291,5,7.8674094676971436,256,0.04
65,LeNet5,0.9783666666666667,0.9796,0.04901260510087013,0.06444139033555984,6,8.000439405441284,256,0.04
66,LeNet5,0.9818333333333333,0.9808,0.11171206086874008,0.055948615074157715,7,7.879946947097778,256,0.04
67,LeNet5,0.9831833333333333,0.9805,0.04954268038272858,0.05882875993847847,8,7.922278881072998,256,0.04
68,LeNet5,0.9854666666666667,0.979,0.10384804010391235,0.06643132120370865,9,7.850898265838623,256,0.04
69,LeNet5,0.98605,0.9859,0.017765380442142487,0.04219480976462364,10,7.847862720489502,256,0.04
70,LeNet5,0.9871833333333333,0.9754,0.08554667234420776,0.07726508378982544,11,7.8735034465789795,256,0.04
71,LeNet5,0.9882,0.9861,0.03891431912779808,0.04234228655695915,12,7.9743077754974365,256,0.04
72,LeNet5,0.9883166666666666,0.9879,0.033463895320892334,0.03660530969500542,13,7.978802919387817,256,0.04
73,LeNet5,0.9896666666666667,0.9866,0.022122414782643318,0.039114635437726974,14,7.977163314819336,256,0.04
74,LeNet5,0.98985,0.9863,0.01269068568944931,0.040487755089998245,15,7.88857102394104,256,0.04
75,LeNet5,0.9906333333333334,0.9883,0.027261780574917793,0.03356575593352318,16,7.894179821014404,256,0.04
76,LeNet5,0.9910833333333333,0.9785,0.12860219180583954,0.06592436879873276,17,8.010762453079224,256,0.04
77,LeNet5,0.9915333333333334,0.9869,0.016178546473383904,0.03734896704554558,18,7.874960899353027,256,0.04
78,LeNet5,0.9923166666666666,0.9892,0.006085459608584642,0.03206324949860573,19,7.947333097457886,256,0.04
79,LeNet5,0.9930166666666667,0.9882,0.028427215293049812,0.03531426191329956,20,7.842873573303223,256,0.04
80,LeNet5,0.9934166666666666,0.9888,0.009513716213405132,0.03839368745684624,21,7.88121485710144,256,0.04
81,LeNet5,0.9937,0.9869,0.049577146768569946,0.03830332309007645,22,8.169313669204712,256,0.04
82,LeNet5,0.9937833333333334,0.9885,0.007419969420880079,0.03319238871335983,23,8.106990814208984,256,0.04
83,LeNet5,0.99375,0.9901,0.0032802417408674955,0.02946236915886402,24,8.071353197097778,256,0.04
84,LeNet5,0.9945166666666667,0.981,0.03666055575013161,0.05602128431200981,25,8.202322483062744,256,0.04
85,LeNet5,0.9943666666666666,0.9875,0.02052648365497589,0.04234878346323967,26,8.14475154876709,256,0.04
86,LeNet5,0.9952833333333333,0.9885,0.009556290693581104,0.034594032913446426,27,8.042217254638672,256,0.04
87,LeNet5,0.9951333333333333,0.9863,0.03069128282368183,0.044077154248952866,28,8.113494396209717,256,0.04
88,LeNet5,0.9954333333333333,0.9902,0.0034573266748338938,0.030128393322229385,29,8.155512809753418,256,0.04
89,LeNet5,0.9959333333333333,0.9888,0.013798384927213192,0.03758639469742775,30,8.148696184158325,256,0.04
90,LeNet5,0.47575,0.8149,0.4565785825252533,0.5142152905464172,1,7.992519378662109,512,0.08
91,LeNet5,0.9134833333333333,0.9037,0.2581523358821869,0.28777286410331726,2,8.051540851593018,512,0.08
92,LeNet5,0.94995,0.9117,0.18032129108905792,0.27171412110328674,3,7.973120927810669,512,0.08
93,LeNet5,0.9661,0.9691,0.052440229803323746,0.09520283341407776,4,7.933836221694946,512,0.08
