,model,train_accuracy,test_accuracy,train_loss,test_loss,epoch,time,batch_size,lr
0,LeNet5,0.6387,0.8851,0.208864226937294,0.37352606654167175,1,8.854591608047485,64,0.01
1,LeNet5,0.9343166666666667,0.9551,0.158351868391037,0.1481894850730896,2,8.729331731796265,64,0.01
2,LeNet5,0.9587166666666667,0.9689,0.0234861820936203,0.10299485921859741,3,8.90314245223999,64,0.01
3,LeNet5,0.9681833333333333,0.9722,0.012178231962025166,0.0854351744055748,4,9.102704524993896,64,0.01
4,LeNet5,0.9737,0.9612,0.2161976844072342,0.1252739429473877,5,8.920551776885986,64,0.01
5,LeNet5,0.9773333333333334,0.9801,0.010635900311172009,0.060872383415699005,6,8.80561089515686,64,0.01
6,LeNet5,0.9801333333333333,0.9751,0.15699581801891327,0.07573923468589783,7,8.79485011100769,64,0.01
7,LeNet5,0.9823,0.9814,0.008833124302327633,0.054316405206918716,8,8.941585540771484,64,0.01
8,LeNet5,0.9836666666666667,0.9766,0.08603231608867645,0.0736241489648819,9,8.728717565536499,64,0.01
9,LeNet5,0.9846666666666667,0.9834,0.00829855352640152,0.0471394918859005,10,8.796764612197876,64,0.01
10,LeNet5,0.9865166666666667,0.9816,0.033680569380521774,0.05483313649892807,11,9.119301080703735,64,0.01
11,LeNet5,0.9872666666666666,0.9849,0.06444961577653885,0.04948687553405762,12,8.925670623779297,64,0.01
12,LeNet5,0.9882833333333333,0.9871,0.003734939033165574,0.04176097735762596,13,8.90564751625061,64,0.01
13,LeNet5,0.9893166666666666,0.9876,0.018130317330360413,0.039464306086301804,14,9.03664755821228,64,0.01
14,LeNet5,0.9899833333333333,0.9819,0.12342099100351334,0.05485260486602783,15,8.903017520904541,64,0.01
15,LeNet5,0.9903666666666666,0.9866,0.0020519080571830273,0.0397784449160099,16,8.8546302318573,64,0.01
16,LeNet5,0.9908666666666667,0.9863,0.025378135964274406,0.04169538989663124,17,9.134657621383667,64,0.01
17,LeNet5,0.9913,0.9884,0.004101377911865711,0.0374380461871624,18,8.992866039276123,64,0.01
18,LeNet5,0.9921833333333333,0.9855,0.031441789120435715,0.044068437069654465,19,9.145090579986572,64,0.01
19,LeNet5,0.9925833333333334,0.9872,0.031304050236940384,0.039265792816877365,20,9.041685342788696,64,0.01
20,LeNet5,0.9928666666666667,0.9887,0.004418719559907913,0.03500420227646828,21,8.963590145111084,64,0.01
21,LeNet5,0.9934166666666666,0.9893,0.004906478803604841,0.032756295055150986,22,9.094461917877197,64,0.01
22,LeNet5,0.99375,0.9902,0.0007241200073622167,0.032103281468153,23,9.10566520690918,64,0.01
23,LeNet5,0.9941666666666666,0.9896,0.0005656137363985181,0.03324094042181969,24,9.018200397491455,64,0.01
24,LeNet5,0.9944666666666667,0.9892,0.0027907565236091614,0.033381473273038864,25,8.961676836013794,64,0.01
25,LeNet5,0.9948,0.9888,0.007736338302493095,0.03309023007750511,26,9.009029865264893,64,0.01
26,LeNet5,0.9947,0.9897,0.0021086889319121838,0.03335217759013176,27,9.154852628707886,64,0.01
27,LeNet5,0.99535,0.9889,0.006612652447074652,0.03449327498674393,28,8.98810338973999,64,0.01
28,LeNet5,0.9953166666666666,0.9903,0.004861345514655113,0.03181678429245949,29,9.093544244766235,64,0.01
29,LeNet5,0.9960333333333333,0.9869,0.05947702005505562,0.042107176035642624,30,9.168145895004272,64,0.01
30,LeNet5,0.42773333333333335,0.8399,0.6550554037094116,0.5725257396697998,1,8.231725454330444,128,0.01
31,LeNet5,0.8798166666666667,0.915,0.49867525696754456,0.2965965270996094,2,8.250821352005005,128,0.01
32,LeNet5,0.9256,0.9445,0.1447654813528061,0.1873575896024704,3,8.22635293006897,128,0.01
33,LeNet5,0.9454666666666667,0.9499,0.2659209072589874,0.15932238101959229,4,8.24503755569458,128,0.01
34,LeNet5,0.9561166666666666,0.9607,0.21301434934139252,0.12684857845306396,5,8.298344612121582,128,0.01
35,LeNet5,0.9630833333333333,0.9675,0.09284283965826035,0.10507187247276306,6,8.241808891296387,128,0.01
36,LeNet5,0.9677333333333333,0.9744,0.12264234572649002,0.0860627219080925,7,8.262534141540527,128,0.01
37,LeNet5,0.9715666666666667,0.9749,0.03763006255030632,0.08388318121433258,8,8.156107664108276,128,0.01
38,LeNet5,0.9742,0.9755,0.024324780330061913,0.07567507773637772,9,8.168308734893799,128,0.01
39,LeNet5,0.9682833333333334,0.9751,0.052290529012680054,0.07842979580163956,10,8.084172248840332,128,0.01
40,LeNet5,0.9773333333333334,0.9776,0.016327854245901108,0.06588190048933029,11,8.281188249588013,128,0.01
41,LeNet5,0.9796,0.981,0.029451152309775352,0.05848619341850281,12,8.238230228424072,128,0.01
42,LeNet5,0.9826666666666667,0.9819,0.05681166052818298,0.05687878280878067,13,8.418949365615845,128,0.01
43,LeNet5,0.98355,0.9841,0.014059009961783886,0.04973699524998665,14,8.760713815689087,128,0.01
44,LeNet5,0.98495,0.9852,0.059885334223508835,0.04569214954972267,15,8.215340852737427,128,0.01
45,LeNet5,0.9869833333333333,0.9848,0.02885287068784237,0.04646020382642746,16,8.147351264953613,128,0.01
46,LeNet5,0.9875333333333334,0.9849,0.025830494239926338,0.04166118800640106,17,8.198777914047241,128,0.01
47,LeNet5,0.9884333333333334,0.9864,0.026934394612908363,0.04083364084362984,18,8.202824354171753,128,0.01
48,LeNet5,0.9889,0.9882,0.03148771822452545,0.039255961775779724,19,8.176396131515503,128,0.01
49,LeNet5,0.9902,0.9874,0.05714825168251991,0.03828001767396927,20,8.119262218475342,128,0.01
50,LeNet5,0.9903833333333333,0.9883,0.03937734663486481,0.034862931817770004,21,8.29837441444397,128,0.01
51,LeNet5,0.9910166666666667,0.9796,0.06266466528177261,0.0626615434885025,22,8.208513736724854,128,0.01
52,LeNet5,0.9915,0.9895,0.03249916806817055,0.03436746448278427,23,8.226745128631592,128,0.01
53,LeNet5,0.9919333333333333,0.9896,0.019313523545861244,0.03328821435570717,24,8.331676244735718,128,0.01
54,LeNet5,0.9922833333333333,0.9895,0.00844569131731987,0.03307436779141426,25,8.210848093032837,128,0.01
55,LeNet5,0.9929833333333333,0.9896,0.009165002964437008,0.03389060124754906,26,8.173019886016846,128,0.01
56,LeNet5,0.9933333333333333,0.9902,0.03079945594072342,0.030915554612874985,27,8.187439203262329,128,0.01
57,LeNet5,0.9937833333333334,0.9894,0.06449978053569794,0.033989325165748596,28,8.200287103652954,128,0.01
58,LeNet5,0.9944,0.9853,0.024319268763065338,0.04429416358470917,29,8.116487264633179,128,0.01
59,LeNet5,0.9946,0.9888,0.0034931304398924112,0.03473598137497902,30,8.283968210220337,128,0.01
60,LeNet5,0.21198333333333333,0.3363,2.24088454246521,2.225297451019287,1,8.066400289535522,256,0.01
61,LeNet5,0.63275,0.8394,0.6446487903594971,0.5577471256256104,2,7.955647706985474,256,0.01
62,LeNet5,0.8695,0.8939,0.39788615703582764,0.3623330593109131,3,7.858375072479248,256,0.01
63,LeNet5,0.9050333333333334,0.9213,0.17838998138904572,0.2630067765712738,4,7.818466424942017,256,0.01
64,LeNet5,0.9234666666666667,0.9223,0.3092104196548462,0.2466246783733368,5,7.89006495475769,256,0.01
65,LeNet5,0.93625,0.9453,0.1832408308982849,0.1882091611623764,6,7.7795445919036865,256,0.01
66,LeNet5,0.9456166666666667,0.9513,0.21591313183307648,0.16213686764240265,7,7.82335090637207,256,0.01
67,LeNet5,0.9525,0.958,0.13870513439178467,0.13560746610164642,8,7.814442873001099,256,0.01
68,LeNet5,0.9566666666666667,0.9544,0.31064125895500183,0.1449171006679535,9,7.926598787307739,256,0.01
69,LeNet5,0.8953166666666666,0.9623,0.15722015500068665,0.12850597500801086,10,7.86896276473999,256,0.01
70,LeNet5,0.9634166666666667,0.9731,0.023323392495512962,0.08920981734991074,11,7.73837685585022,256,0.01
71,LeNet5,0.9717166666666667,0.9678,0.07901240885257721,0.0988420769572258,12,7.82071328163147,256,0.01
72,LeNet5,0.9766333333333334,0.9743,0.06345223635435104,0.07387005537748337,13,7.725364923477173,256,0.01
73,LeNet5,0.9799333333333333,0.9805,0.010836717672646046,0.059909626841545105,14,7.775466203689575,256,0.01
74,LeNet5,0.98145,0.9821,0.03300962224602699,0.05484439805150032,15,7.798266172409058,256,0.01
75,LeNet5,0.9837333333333333,0.9797,0.01268452126532793,0.060009900480508804,16,7.836626768112183,256,0.01
76,LeNet5,0.9851,0.9836,0.009050318039953709,0.04826543852686882,17,7.7695112228393555,256,0.01
77,LeNet5,0.9864166666666667,0.9862,0.01765657775104046,0.04491490498185158,18,7.802901029586792,256,0.01
78,LeNet5,0.9871833333333333,0.9791,0.08601187914609909,0.061111364513635635,19,7.865387678146362,256,0.01
79,LeNet5,0.9877833333333333,0.9827,0.03623349592089653,0.04937640205025673,20,8.143571615219116,256,0.01
80,LeNet5,0.98925,0.982,0.052147697657346725,0.05780738964676857,21,7.78396201133728,256,0.01
81,LeNet5,0.9898,0.9828,0.015150955878198147,0.058520201593637466,22,7.753358364105225,256,0.01
82,LeNet5,0.9902,0.9844,0.05692961812019348,0.05001216009259224,23,7.861626625061035,256,0.01
83,LeNet5,0.9907333333333334,0.9746,0.0688413456082344,0.08105415850877762,24,7.7718117237091064,256,0.01
84,LeNet5,0.9912166666666666,0.9871,0.023179830983281136,0.039619892835617065,25,7.760505437850952,256,0.01
85,LeNet5,0.9917666666666667,0.9778,0.06174144521355629,0.07173562794923782,26,7.784973621368408,256,0.01
86,LeNet5,0.9919,0.9711,0.06774897128343582,0.09117826819419861,27,7.928321838378906,256,0.01
87,LeNet5,0.9925333333333334,0.9876,0.00491418456658721,0.03662334010004997,28,7.8805577754974365,256,0.01
88,LeNet5,0.9930833333333333,0.986,0.024820448830723763,0.04446558654308319,29,7.790699005126953,256,0.01
89,LeNet5,0.9932333333333333,0.9868,0.0036281964275985956,0.039203692227602005,30,7.835110664367676,256,0.01
90,LeNet5,0.13153333333333334,0.216,2.2877089977264404,2.286015748977661,1,7.648194313049316,512,0.01
91,LeNet5,0.28791666666666665,0.3315,2.206493616104126,2.2243447303771973,2,7.666692495346069,512,0.01
92,LeNet5,0.48483333333333334,0.7301,1.3720639944076538,1.3753621578216553,3,7.545958042144775,512,0.01
93,LeNet5,0.7997833333333333,0.8253,0.602799117565155,0.5809995532035828,4,7.698577642440796,512,0.01
94,LeNet5,0.8573,0.871,0.46623101830482483,0.41412535309791565,5,7.765114068984985,512,0.01
95,LeNet5,0.8863166666666666,0.8717,0.36189261078834534,0.4030245244503021,6,7.786049842834473,512,0.01
96,LeNet5,0.9017166666666667,0.9039,0.33502912521362305,0.3109535872936249,7,7.694024562835693,512,0.01
97,LeNet5,0.9138166666666667,0.9111,0.1866043359041214,0.28334930539131165,8,8.3496253490448,512,0.01
98,LeNet5,0.9221,0.9276,0.3701634705066681,0.2402684986591339,9,8.331979036331177,512,0.01
99,LeNet5,0.68035,0.8457,0.38605964183807373,0.4324922263622284,10,8.345909118652344,512,0.01
100,LeNet5,0.9343666666666667,0.9373,0.18432338535785675,0.19705471396446228,11,8.222321510314941,512,0.01
101,LeNet5,0.9585333333333333,0.8997,0.12763206660747528,0.27928709983825684,12,8.192233800888062,512,0.01
102,LeNet5,0.9641,0.9484,0.10015833377838135,0.16969993710517883,13,7.71014928817749,512,0.01
103,LeNet5,0.9725,0.9695,0.05282575264573097,0.09997505694627762,14,7.7683188915252686,512,0.01
104,LeNet5,0.9755666666666667,0.9616,0.07321798801422119,0.11797604709863663,15,7.92049765586853,512,0.01
105,LeNet5,0.9779833333333333,0.9612,0.08204253017902374,0.11599522829055786,16,8.000046014785767,512,0.01
106,LeNet5,0.9799,0.9786,0.10070421546697617,0.06595370918512344,17,8.003418684005737,512,0.01
107,LeNet5,0.9818,0.9519,0.052288856357336044,0.13888409733772278,18,7.820281505584717,512,0.01
108,LeNet5,0.9825833333333334,0.9825,0.009947477839887142,0.05302000790834427,19,7.71062445640564,512,0.01
109,LeNet5,0.9846,0.9803,0.1092158779501915,0.0636729821562767,20,7.714335203170776,512,0.01
110,LeNet5,0.98535,0.9766,0.05259055271744728,0.0706164762377739,21,7.596840143203735,512,0.01
111,LeNet5,0.9863666666666666,0.982,0.01584208570420742,0.056308940052986145,22,7.611867904663086,512,0.01
112,LeNet5,0.98745,0.9626,0.03894292190670967,0.1164412721991539,23,7.675029277801514,512,0.01
113,LeNet5,0.9874166666666667,0.9743,0.02694590575993061,0.0751318484544754,24,7.651166200637817,512,0.01
114,LeNet5,0.9881166666666666,0.9736,0.07290453463792801,0.08596506714820862,25,7.567675828933716,512,0.01
115,LeNet5,0.9892,0.9793,0.028596239164471626,0.06909312307834625,26,7.713159084320068,512,0.01
